monthly_availability,projected_monthly_income,room_types
13,5430,apartment
23,5550,apartment
5,9750,apartment
9,7470,apartment
9,1140,room
29,5550,apartment
29,3270,apartment
30,6900,apartment
8,5070,apartment
30,6000,room
8,1170,room
25,5970,apartment
0,1800,apartment
4,1620,room
24,1650,room
0,1560,room
0,2670,apartment
1,1260,room
30,1500,room
0,2250,room
18,3750,apartment
24,5850,apartment
24,2970,apartment
26,5970,apartment
0,3270,room
2,1950,apartment
28,7500,room
29,2220,room
21,1170,room
27,10500,apartment
30,4020,apartment
24,3570,apartment
30,4950,apartment
24,2700,apartment
0,7080,apartment
23,1470,room
20,2490,apartment
29,3780,apartment
22,2700,room
22,2550,apartment
13,2700,apartment
13,5070,apartment
14,1470,room
4,4170,apartment
22,1650,room
22,20970,apartment
11,9000,apartment
12,4500,apartment
26,8250,apartment
13,1530,room
30,1500,room
29,4530,apartment
19,9840,apartment
9,4500,apartment
0,1350,room
13,1020,room
5,870,room
26,4500,apartment
27,2970,apartment
7,1650,room
0,4500,room
22,2940,apartment
23,7050,apartment
0,2100,apartment
27,4740,apartment
25,2670,apartment
12,7170,apartment
0,6660,apartment
25,7050,apartment
9,6660,apartment
24,7050,apartment
20,7050,apartment
19,7050,apartment
26,7050,apartment
28,7050,apartment
21,7050,apartment
23,7050,apartment
20,9840,apartment
19,9840,apartment
14,9840,apartment
15,9840,apartment
11,9840,apartment
19,10740,apartment
27,10740,apartment
24,9840,apartment
30,2700,room
6,4530,apartment
29,2850,apartment
25,5400,apartment
30,7500,apartment
29,1800,room
22,3540,apartment
26,3450,apartment
19,8970,apartment
2,1410,room
2,10170,apartment
12,3900,apartment
22,13500,apartment
7,8550,apartment
1,1950,apartment
30,8250,apartment
13,2850,apartment
24,3750,apartment
23,8850,apartment
24,2400,apartment
24,3300,apartment
30,5370,apartment
18,3570,apartment
30,4200,apartment
22,4200,apartment
27,2370,apartment
19,1950,room
30,2070,room
6,2250,room
17,4350,apartment
0,3900,apartment
29,5400,apartment
26,23850,apartment
24,20970,apartment
12,4950,apartment
7,15000,apartment
29,7500,apartment
11,7770,apartment
7,7050,apartment
25,2100,room
30,5460,apartment
29,8250,apartment
24,77250,apartment
9,5970,apartment
25,15750,apartment
19,2070,apartment
9,4470,apartment
13,2250,room
29,9900,apartment
30,18000,apartment
11,2670,apartment
30,9330,apartment
25,4950,apartment
19,6750,apartment
17,8250,apartment
19,3300,room
0,7770,apartment
28,4170,apartment
12,1020,room
12,930,room
21,4470,apartment
29,12750,apartment
5,5940,apartment
0,7500,apartment
23,13500,apartment
21,10800,apartment
30,3270,apartment
25,6750,apartment
29,3300,apartment
29,3450,apartment
24,3450,apartment
30,3750,room
29,14970,apartment
26,1950,room
6,2670,room
30,2250,room
29,12870,apartment
24,3540,apartment
9,3630,apartment
2,1200,room
28,11550,apartment
30,36000,apartment
30,1740,room
27,3900,apartment
25,6300,apartment
29,1350,room
26,3570,apartment
4,2280,room
29,1560,room
7,4050,room
3,1650,room
0,10500,apartment
11,2070,room
17,4470,apartment
22,2370,apartment
29,2790,apartment
30,6600,apartment
25,5700,apartment
18,3300,apartment
23,3750,apartment
27,2910,apartment
26,27000,apartment
30,2850,room
29,4500,apartment
0,5550,apartment
28,6150,apartment
25,11820,apartment
28,7110,apartment
0,8670,room
0,8250,apartment
26,1800,apartment
15,9450,apartment
26,3060,apartment
8,4500,apartment
12,7500,apartment
26,3870,apartment
1,1170,room
25,9000,apartment
11,2370,apartment
27,5400,apartment
12,4170,apartment
28,3570,apartment
0,8400,apartment
22,4770,apartment
22,2850,apartment
8,4050,apartment
27,3300,apartment
17,1800,apartment
26,3750,apartment
0,10500,apartment
23,7110,apartment
2,2940,apartment
4,5190,apartment
3,5940,apartment
28,5250,apartment
0,1500,room
22,7110,apartment
20,4200,apartment
23,4050,apartment
27,10470,apartment
30,12900,apartment
23,6450,apartment
29,6150,apartment
5,1080,room
27,6750,apartment
15,2670,apartment
26,4470,apartment
9,5850,apartment
30,7110,apartment
7,3120,apartment
11,2910,apartment
28,2970,apartment
28,2970,apartment
29,4170,apartment
29,4470,apartment
13,3870,apartment
29,3870,apartment
13,8370,apartment
28,4470,apartment
28,4770,apartment
29,5250,apartment
30,3300,room
0,3870,room
28,2670,apartment
0,2100,room
0,7350,apartment
25,1800,room
0,22500,apartment
28,2250,room
29,6000,apartment
17,4170,apartment
7,1770,room
29,3000,apartment
25,6450,apartment
9,5550,apartment
25,2100,room
11,2670,room
17,3570,apartment
22,2670,apartment
11,2970,apartment
8,5670,apartment
3,10500,apartment
27,18660,apartment
30,9000,room
29,2790,room
7,5250,apartment
25,9000,apartment
3,5340,apartment
4,6390,apartment
5,4050,apartment
27,3570,apartment
30,2250,apartment
21,4800,apartment
0,2310,room
0,6000,apartment
26,2970,apartment
9,5850,apartment
22,10260,apartment
29,2070,room
29,2700,room
30,3000,room
6,2070,room
13,3000,apartment
17,2370,apartment
26,1800,apartment
4,2400,apartment
20,4950,apartment
20,5670,apartment
27,3000,apartment
4,5610,apartment
30,3750,room
20,2700,apartment
29,3270,apartment
0,3300,apartment
21,3270,apartment
10,3900,apartment
6,1350,room
0,14250,room
0,4350,apartment
2,8400,apartment
29,21000,apartment
27,990,room
30,6000,room
21,4170,apartment
29,7470,apartment
0,4200,apartment
21,2700,apartment
0,2100,room
1,5040,apartment
9,2970,apartment
24,2850,apartment
0,5250,apartment
9,14970,room
11,4650,apartment
30,2400,room
29,67980,apartment
2,2670,room
4,2670,apartment
9,2100,room
30,30000,apartment
26,10500,apartment
0,3600,apartment
29,2250,room
15,4350,apartment
29,4470,apartment
10,10950,apartment
6,8100,apartment
23,6750,apartment
0,2370,room
13,4200,apartment
5,2550,room
25,3300,apartment
29,16500,apartment
0,9000,apartment
23,1350,room
20,1470,room
9,2400,apartment
29,36000,apartment
5,2670,apartment
0,2940,room
0,3240,apartment
24,4500,apartment
0,11070,apartment
18,11970,apartment
26,12450,apartment
22,11250,apartment
13,12450,apartment
14,3300,apartment
27,1650,room
6,5250,apartment
20,2250,apartment
17,5850,apartment
0,6000,apartment
30,2100,room
0,8250,apartment
29,20340,apartment
26,26250,apartment
25,27000,apartment
0,2400,room
0,1500,room
20,24450,apartment
21,23550,apartment
0,7500,apartment
25,3690,apartment
1,1500,room
30,13440,apartment
27,1950,room
30,8370,apartment
30,6750,apartment
0,3750,room
30,2400,room
25,4500,apartment
2,4170,apartment
19,5100,apartment
29,15000,apartment
0,3450,apartment
11,18750,apartment
25,18750,apartment
24,10050,apartment
21,13500,apartment
26,3000,apartment
21,1800,apartment
29,11100,apartment
12,3720,apartment
30,3570,apartment
0,5490,apartment
0,6000,apartment
13,2220,room
24,3840,apartment
0,2100,room
25,30000,apartment
0,2700,room
0,960,room
12,5460,apartment
23,46350,apartment
23,11850,apartment
9,7710,apartment
9,7500,apartment
0,3720,apartment
9,13500,apartment
29,3300,apartment
27,6750,apartment
4,2670,room
8,13200,apartment
0,2940,apartment
0,8250,apartment
0,1560,room
28,2970,apartment
29,3270,apartment
26,3300,apartment
30,14400,apartment
0,3360,apartment
0,6000,apartment
27,4050,apartment
22,3600,room
30,42900,apartment
27,2700,room
25,3000,apartment
28,5520,apartment
0,3060,apartment
22,3450,room
13,10800,apartment
24,2400,apartment
5,2430,apartment
11,3450,apartment
25,5850,apartment
24,2730,apartment
29,7470,apartment
29,3000,room
7,2670,room
20,15000,apartment
1,14970,apartment
27,1770,room
19,15300,apartment
20,2040,room
23,1170,room
0,11850,apartment
15,16950,apartment
11,4500,apartment
8,3420,apartment
15,2970,apartment
5,21300,apartment
4,21300,apartment
0,2970,apartment
22,2550,room
29,15000,apartment
28,17400,apartment
7,990,room
28,4950,apartment
0,4500,room
29,4170,apartment
20,2550,apartment
0,4500,apartment
26,4050,apartment
2,2250,apartment
24,10500,apartment
30,3600,apartment
22,2700,room
6,2070,apartment
14,4050,apartment
29,3840,apartment
7,4200,room
26,4200,apartment
6,3000,apartment
29,2850,apartment
11,10320,apartment
26,6720,apartment
9,9000,apartment
0,4800,apartment
7,2250,room
26,2850,room
30,7470,apartment
13,2250,apartment
0,11850,apartment
0,7500,apartment
28,5760,apartment
28,4170,apartment
0,3000,apartment
9,20100,apartment
3,3450,apartment
13,2070,room
30,4080,room
27,3750,apartment
4,3720,apartment
30,15000,apartment
0,3270,apartment
1,2220,apartment
24,990,room
20,5970,apartment
25,8370,apartment
4,8940,apartment
11,8100,apartment
0,4500,apartment
11,1500,room
25,3300,apartment
17,2370,apartment
30,23850,apartment
28,9030,apartment
18,4770,apartment
30,2100,apartment
0,3900,apartment
30,4500,apartment
29,11370,apartment
4,2910,apartment
29,2550,apartment
24,6750,apartment
26,5370,apartment
28,3900,apartment
12,5670,apartment
10,4890,apartment
10,3270,apartment
0,6000,apartment
11,3300,apartment
24,5250,apartment
27,750,room
8,9750,apartment
24,1500,room
7,3150,room
0,6270,apartment
0,1800,room
26,18150,apartment
25,3150,apartment
27,10470,apartment
6,2490,room
1,2970,room
29,4650,apartment
21,7770,apartment
17,2970,apartment
30,5700,apartment
9,4620,apartment
3,1500,room
0,5250,apartment
0,1950,room
10,5970,apartment
11,4170,apartment
6,4950,apartment
29,4170,apartment
14,55500,apartment
5,8700,apartment
7,10350,apartment
6,2610,apartment
6,9810,apartment
0,2970,apartment
0,6600,apartment
7,5460,apartment
4,6690,apartment
28,3450,apartment
22,2970,apartment
29,2970,apartment
4,3900,apartment
29,2970,apartment
27,2970,apartment
1,7950,apartment
14,6750,apartment
6,3750,apartment
25,3450,apartment
0,3000,room
0,4950,room
28,3570,apartment
19,3750,room
23,1950,room
23,3900,room
16,1050,room
24,23850,apartment
0,2850,apartment
0,9000,apartment
18,2970,apartment
0,10500,apartment
9,5520,apartment
29,8970,apartment
22,3000,room
0,9000,apartment
0,5460,apartment
0,13500,apartment
4,2400,room
0,2460,room
30,4770,apartment
26,1650,room
0,1800,apartment
9,4170,apartment
27,2700,apartment
28,2400,room
0,2250,room
0,39000,apartment
1,9750,apartment
0,9000,apartment
0,3030,apartment
12,2250,apartment
20,5970,apartment
0,13500,apartment
0,27000,apartment
3,2160,room
30,3450,apartment
0,13350,apartment
4,1770,room
25,7350,apartment
25,6600,apartment
29,3000,apartment
21,5250,apartment
0,4500,apartment
26,4920,apartment
25,8400,apartment
7,3870,apartment
14,4800,apartment
25,6270,apartment
0,9750,apartment
0,4800,apartment
3,2250,room
0,30000,apartment
0,5400,apartment
14,2370,room
0,2070,room
26,4050,apartment
0,1170,room
20,6750,apartment
1,22590,apartment
0,5970,apartment
25,14370,apartment
0,5250,apartment
0,11970,apartment
0,21000,apartment
9,4770,apartment
0,930,room
0,7500,apartment
0,4050,apartment
3,3270,apartment
8,2220,apartment
0,6300,apartment
0,1800,room
7,2100,room
21,9000,apartment
0,3600,room
0,4050,room
29,1800,room
30,75000,apartment
28,8070,apartment
6,6000,room
27,4770,apartment
30,4950,room
14,3300,apartment
0,6000,apartment
19,3900,apartment
29,14550,apartment
0,3750,apartment
1,1350,room
23,2550,apartment
29,4170,apartment
0,15000,apartment
1,2550,room
8,3900,room
0,19500,apartment
5,3150,apartment
3,2250,room
0,6600,apartment
0,3900,room
0,3450,room
0,2340,room
0,12000,apartment
0,6600,room
12,2370,room
0,6000,room
0,9000,apartment
7,2070,apartment
22,5670,apartment
25,69000,apartment
30,1560,room
21,1770,room
0,5400,apartment
6,1650,room
1,5250,apartment
12,2970,apartment
0,960,room
0,1500,apartment
25,3270,apartment
0,1500,apartment
5,3300,apartment
0,2100,room
15,8880,apartment
23,3360,apartment
25,10200,apartment
18,14970,apartment
25,2550,apartment
5,1860,room
23,24450,apartment
11,4500,apartment
0,3300,room
8,9570,apartment
0,26970,apartment
7,3600,apartment
29,1440,room
30,9000,apartment
30,7350,apartment
7,3600,apartment
7,3270,apartment
7,3600,apartment
26,5220,apartment
29,55500,apartment
10,5250,apartment
9,2970,apartment
26,10500,apartment
16,7470,apartment
6,3750,room
27,2700,apartment
27,10500,apartment
27,10500,apartment
27,10500,apartment
26,12000,apartment
25,8850,apartment
0,3870,apartment
15,1260,room
30,8370,apartment
20,6570,apartment
24,6270,apartment
6,1560,room
26,5250,apartment
0,1170,room
0,7200,room
15,4050,apartment
27,7200,apartment
0,3000,apartment
0,11820,apartment
30,5250,room
14,1500,room
30,3000,room
29,3600,room
25,7020,apartment
0,1500,room
28,1170,room
0,1770,room
30,2910,room
6,2070,apartment
0,4470,apartment
21,3270,apartment
28,1470,room
28,1650,room
0,13500,apartment
4,2100,apartment
6,1560,room
12,4200,apartment
0,3870,apartment
22,5850,apartment
22,4260,room
13,2280,room
20,5970,apartment
20,11250,apartment
7,15000,apartment
24,18000,apartment
5,7770,apartment
17,5970,apartment
24,5370,apartment
22,5070,apartment
17,4770,apartment
27,2550,room
30,3750,apartment
30,13470,apartment
28,10500,apartment
13,5250,apartment
25,3060,apartment
25,20850,apartment
21,7800,apartment
9,3750,apartment
23,4950,apartment
8,14250,apartment
12,7500,apartment
9,6750,apartment
21,6000,apartment
30,5850,apartment
5,5550,apartment
25,3000,apartment
0,3750,room
24,12600,apartment
0,2250,room
24,3840,apartment
9,1950,room
30,3000,room
8,15000,apartment
0,1740,room
28,1500,room
8,4800,apartment
8,9000,apartment
0,2550,room
0,2400,apartment
13,7500,apartment
24,5250,apartment
29,2850,apartment
19,7500,apartment
0,8970,apartment
21,5400,apartment
0,4650,apartment
29,5250,apartment
17,8850,apartment
0,2400,room
20,5250,apartment
30,2250,apartment
25,7800,apartment
4,3360,apartment
12,2370,room
1,3750,apartment
9,8250,apartment
29,3750,apartment
30,2250,room
30,13470,apartment
17,6660,apartment
22,4350,apartment
29,2550,room
0,2070,room
29,15750,apartment
29,22500,apartment
29,6570,apartment
29,2970,apartment
15,9180,apartment
9,6000,apartment
0,1800,room
18,9000,apartment
0,3000,room
30,22500,room
23,3870,apartment
30,15000,apartment
6,16500,apartment
30,10470,apartment
23,4050,apartment
15,1950,room
9,6750,apartment
24,4710,apartment
12,5970,apartment
0,6000,apartment
24,1560,room
0,2910,apartment
22,12000,apartment
27,8970,apartment
29,1650,room
25,3750,apartment
0,1200,room
27,15000,apartment
0,4500,apartment
6,3450,apartment
11,2970,apartment
29,2550,room
26,6750,apartment
17,6000,apartment
24,4650,apartment
0,2850,apartment
2,1500,room
27,4050,apartment
29,2550,room
27,3270,apartment
0,4500,apartment
0,3600,apartment
11,4500,apartment
15,3870,apartment
12,2970,apartment
27,1470,room
15,2400,room
21,7950,apartment
26,7050,apartment
21,5370,apartment
0,1950,room
22,1470,room
28,4170,apartment
13,2070,room
25,1470,room
0,4500,room
0,4500,apartment
24,2970,apartment
5,2280,apartment
29,11850,apartment
5,1650,room
0,2370,apartment
0,8250,apartment
20,6780,apartment
0,7500,apartment
20,9000,apartment
13,1800,room
0,2550,apartment
13,4050,apartment
0,6750,apartment
2,1500,room
0,3270,apartment
23,17370,apartment
4,1650,room
0,9000,apartment
20,5250,apartment
2,5340,apartment
9,8550,apartment
0,1890,room
19,3270,apartment
27,7350,apartment
25,10350,apartment
8,4950,apartment
6,1590,room
30,3300,room
0,5400,apartment
10,7530,apartment
24,2970,apartment
0,2130,apartment
29,4500,apartment
0,3870,room
5,42360,apartment
30,5250,room
28,3000,apartment
5,3450,room
30,8970,apartment
30,6870,apartment
0,7440,apartment
14,5970,apartment
9,1350,room
13,4470,apartment
20,8970,apartment
22,9810,apartment
6,1440,room
0,15930,apartment
28,3270,apartment
21,5070,apartment
26,5700,apartment
30,3210,room
22,1650,room
4,9000,apartment
3,2850,apartment
29,3870,apartment
28,2700,apartment
11,2250,room
24,2040,room
0,1500,apartment
30,9000,apartment
26,1170,room
27,4200,apartment
22,6750,apartment
14,5370,apartment
29,3750,room
21,8310,apartment
0,21750,room
27,3270,apartment
9,12750,apartment
27,5730,apartment
24,1350,room
0,2700,apartment
9,4200,apartment
5,7500,apartment
30,7500,apartment
0,6000,apartment
5,4200,apartment
27,8190,apartment
0,15000,apartment
30,12000,apartment
12,5970,apartment
0,3450,room
28,13500,apartment
24,5370,apartment
22,6600,apartment
26,28500,apartment
0,25470,apartment
0,3570,apartment
5,2970,apartment
11,1470,room
9,2070,room
19,1170,room
1,6000,apartment
22,1950,room
27,4800,apartment
13,4950,apartment
0,3270,apartment
1,2250,room
27,6750,apartment
6,3990,apartment
12,3150,apartment
22,1800,apartment
22,2250,apartment
0,3900,apartment
11,2250,room
0,6000,apartment
12,1140,room
12,840,room
11,2400,apartment
0,2850,room
30,1410,room
22,3450,room
28,1650,room
24,20970,apartment
11,2400,apartment
0,4500,apartment
22,4140,apartment
24,2100,apartment
16,6000,apartment
7,7740,apartment
27,17970,apartment
13,2670,apartment
25,31140,apartment
27,1230,room
22,1800,room
7,2580,apartment
1,1950,room
24,1470,room
29,5370,apartment
10,2550,apartment
11,2250,room
0,2010,apartment
0,3270,apartment
8,6000,apartment
10,9900,apartment
27,12000,apartment
0,1890,room
0,1500,room
6,3750,apartment
20,11250,apartment
29,4350,room
26,3570,apartment
6,5370,apartment
0,15000,apartment
29,2370,room
0,5970,apartment
0,4290,apartment
3,2250,apartment
29,3000,apartment
14,4110,apartment
0,3600,apartment
9,5280,apartment
22,2850,apartment
18,3750,apartment
6,3090,apartment
17,1770,room
11,1950,room
30,4500,room
30,2250,room
10,3510,apartment
4,4350,apartment
29,870,room
26,870,room
0,4050,apartment
19,8970,apartment
29,8190,apartment
18,36000,apartment
19,2700,room
9,3150,apartment
29,7500,apartment
3,2370,apartment
11,2070,room
28,2670,apartment
14,2100,apartment
0,10680,apartment
0,2250,apartment
2,6000,apartment
0,3750,apartment
11,2640,apartment
0,21000,apartment
29,1950,room
28,1440,room
29,2040,room
7,1800,room
22,2850,apartment
18,1470,room
6,4770,apartment
7,2040,room
0,1740,room
10,11970,apartment
26,9000,apartment
0,1890,room
10,4410,apartment
29,2670,apartment
16,8850,apartment
8,5700,apartment
28,3000,room
6,3870,apartment
28,11100,apartment
0,24000,apartment
0,2670,room
21,7800,apartment
6,1470,room
14,8550,apartment
0,30000,apartment
27,1950,room
0,2400,room
0,3150,room
0,4500,room
26,10950,apartment
26,6750,apartment
14,3630,apartment
30,15000,apartment
10,8670,apartment
0,12000,apartment
9,4890,apartment
7,4020,apartment
17,4110,apartment
27,6600,apartment
12,4800,apartment
0,1470,room
29,16500,apartment
0,9000,apartment
0,2850,apartment
19,2100,room
7,8250,apartment
0,13470,apartment
8,15750,apartment
15,5370,apartment
0,2700,room
7,4500,room
27,5250,apartment
8,1140,room
23,6900,apartment
29,18000,apartment
3,9000,apartment
30,3750,room
13,29970,apartment
22,5190,apartment
29,9060,apartment
0,13500,apartment
7,2970,apartment
0,3000,room
0,6870,apartment
0,7980,apartment
18,3900,apartment
27,4200,apartment
0,2700,apartment
29,4050,apartment
30,9600,apartment
28,4950,apartment
4,2670,apartment
17,7500,apartment
26,10140,apartment
10,8970,apartment
0,7500,apartment
6,9750,apartment
0,1800,room
0,15000,apartment
0,6000,room
0,7050,apartment
4,2250,apartment
27,2280,apartment
3,6570,apartment
0,900,room
29,2970,room
0,7500,apartment
6,2670,apartment
14,4800,apartment
4,4470,apartment
29,2970,apartment
0,2970,apartment
26,4800,apartment
0,4200,apartment
30,1440,room
0,5400,apartment
7,5370,apartment
22,9300,apartment
0,2250,room
0,3600,apartment
28,1950,room
21,7470,apartment
2,6270,apartment
1,13470,apartment
22,1800,room
30,2550,apartment
27,4650,apartment
22,1650,room
11,3300,apartment
25,10500,apartment
8,2970,apartment
24,18000,apartment
0,7200,apartment
22,7500,apartment
1,4500,apartment
7,17850,apartment
7,2970,apartment
22,4650,apartment
25,18000,apartment
23,2550,room
22,2580,apartment
30,4500,apartment
30,1770,room
3,3360,apartment
3,3660,apartment
25,24000,apartment
30,15000,apartment
1,1650,apartment
1,5970,apartment
27,6750,apartment
0,9000,apartment
14,2550,room
17,2250,apartment
26,9000,apartment
2,6570,apartment
10,2520,apartment
14,1650,room
29,3750,apartment
28,17970,apartment
0,4200,room
11,2250,room
18,5850,apartment
17,11700,apartment
4,1800,apartment
7,4500,apartment
14,1950,room
25,9750,apartment
11,2100,room
4,2940,apartment
0,3750,apartment
0,8940,apartment
30,17250,apartment
8,5970,apartment
28,7500,apartment
30,2250,room
20,4500,apartment
2,2130,room
26,1470,room
0,16500,room
0,3000,apartment
6,2670,apartment
17,8250,apartment
26,1950,room
27,1770,apartment
0,4500,apartment
0,2700,room
30,2850,apartment
0,10500,room
15,10140,apartment
14,14100,apartment
26,7500,apartment
8,4800,apartment
17,5370,apartment
28,5400,apartment
0,1500,room
23,2160,room
26,1950,room
7,4500,apartment
21,4170,apartment
27,15000,apartment
23,13500,apartment
6,6000,apartment
0,13800,apartment
5,4470,apartment
0,960,room
26,8550,apartment
21,4440,apartment
16,4440,apartment
20,4440,apartment
19,4440,apartment
29,3600,apartment
18,3600,apartment
28,15000,apartment
24,4350,apartment
18,2970,apartment
0,7200,apartment
25,4500,apartment
14,2250,room
0,1500,room
27,4050,apartment
0,2970,apartment
22,6900,apartment
10,1500,room
0,4020,room
4,1740,room
30,3270,room
27,3600,room
0,5850,apartment
0,2400,room
27,8130,apartment
30,4320,apartment
20,2250,room
7,4470,apartment
0,4500,apartment
5,3600,apartment
10,9600,apartment
25,2640,apartment
0,10470,apartment
0,12000,apartment
0,11250,apartment
8,6600,apartment
30,26250,apartment
29,55620,apartment
28,38640,apartment
22,86520,apartment
20,3480,apartment
0,53400,apartment
0,3360,apartment
29,21000,apartment
0,1350,room
0,12000,apartment
0,6750,room
0,4770,room
0,2850,room
0,4050,apartment
0,3750,room
0,7950,room
30,1260,room
26,2070,room
27,2250,room
27,2700,apartment
30,6900,room
3,5850,apartment
0,2940,apartment
0,2070,room
5,1800,room
21,4410,apartment
23,3150,apartment
30,5670,apartment
25,14850,apartment
0,2670,apartment
1,5400,apartment
0,15000,apartment
7,2970,apartment
6,14250,apartment
0,2370,apartment
0,3000,room
4,3270,apartment
2,6570,apartment
7,7050,apartment
8,7050,apartment
2,1650,room
14,9000,apartment
28,14700,apartment
27,750,room
29,1260,room
0,3000,apartment
11,4170,apartment
0,6000,room
14,3750,apartment
0,4500,apartment
12,12000,apartment
29,1200,room
3,9000,apartment
7,5250,apartment
13,7680,apartment
14,9000,apartment
0,6000,apartment
0,15000,apartment
29,5070,apartment
30,14910,apartment
30,35910,apartment
22,6000,apartment
26,1080,room
5,10500,apartment
30,2550,room
30,3450,room
0,3900,apartment
0,6000,apartment
17,2280,apartment
0,9750,apartment
0,5250,apartment
28,3000,apartment
12,5250,apartment
6,6750,apartment
0,6750,apartment
0,2550,room
27,2970,apartment
4,14400,apartment
0,12750,apartment
0,36000,apartment
30,3750,apartment
0,25500,apartment
2,2250,apartment
22,11100,apartment
0,2400,apartment
28,2970,apartment
30,2970,room
30,9000,apartment
29,2700,room
21,9210,apartment
0,8400,apartment
30,4500,room
27,4500,apartment
14,2250,apartment
0,7500,apartment
6,2550,apartment
30,2700,room
29,2940,apartment
21,10500,apartment
0,2400,apartment
21,5400,apartment
0,1350,room
2,1800,room
0,5400,apartment
13,4500,apartment
0,12750,apartment
0,2730,apartment
28,4350,apartment
30,2700,room
26,9000,apartment
29,2670,apartment
29,870,room
23,24000,apartment
7,4500,apartment
0,4470,room
0,2970,apartment
0,13500,apartment
5,2550,room
0,6000,room
29,3750,apartment
14,11400,apartment
0,3750,room
24,8730,apartment
9,5850,apartment
0,9000,apartment
0,1470,room
0,2550,room
13,6600,apartment
30,3000,room
29,9390,apartment
27,9840,apartment
26,7770,apartment
0,2550,apartment
30,2550,room
6,930,room
0,12000,apartment
0,9000,apartment
0,7500,apartment
1,6000,room
19,5250,apartment
0,3000,room
24,2970,apartment
0,3000,apartment
0,9750,apartment
0,6000,room
0,3030,room
0,6000,apartment
18,3450,apartment
0,8250,apartment
30,10500,apartment
0,2640,room
8,2670,apartment
1,16980,apartment
0,16980,apartment
0,2970,room
29,6000,apartment
0,3000,room
7,5190,apartment
21,1980,room
0,9000,room
28,5850,apartment
0,5250,apartment
17,3840,apartment
0,16500,room
27,2100,room
0,2070,room
26,3000,apartment
0,5100,apartment
0,1920,room
12,4770,apartment
0,6000,apartment
0,2460,room
0,24000,apartment
0,2670,apartment
0,6000,apartment
0,2400,room
2,2040,room
19,4350,apartment
29,2670,apartment
0,4650,apartment
23,8070,apartment
0,13500,apartment
19,11610,apartment
17,10830,apartment
0,3000,room
0,1500,room
7,3300,room
24,4500,apartment
0,12000,apartment
0,6600,apartment
0,1680,apartment
26,2700,apartment
0,4200,apartment
0,12000,room
0,3000,room
0,4050,apartment
